id,name,city,studytime,failures,absences,Medu,Fedu,G1,G2,G3
23A91A1032,Rahul Khan,Kolkata,2,1,16,0,1,56,53,51
23A91A1033,Neha Choudhary,Jaipur,2,1,5,2,2,61,65,66
23A91A1034,Sneha Khan,Bangalore,3,3,10,4,1,76,72,76
23A91A1035,Ravi Patel,Vijayawada,4,1,15,2,3,66,71,70
23A91A1036,Roshan Jani,Jaipur,1,3,9,0,4,70,74,79
23A91A1037,Sneha Mishra,Bangalore,4,2,10,2,0,82,84,87
23A91A1038,Anil Mishra,Bangalore,3,0,13,1,3,47,49,46
23A91A1039,Rahul Desai,Mumbai,2,1,5,2,0,66,71,72
23A91A1040,Kiran Patel,Kolkata,4,0,4,4,2,85,80,76
23A91A1041,Rahul Desai,Vijayawada,3,2,10,2,3,89,85,89
23A91A1042,Ravi Desai,Mumbai,1,3,15,2,1,78,80,84
23A91A1043,Roshan Patel,Ahmedabad,1,3,18,0,2,68,65,60
23A91A1044,Anil Patel,Jaipur,4,3,14,0,0,90,85,88
23A91A1045,Anil Desai,Pune,4,2,8,2,1,64,61,60
23A91A1046,Ali Khan,Kolkata,1,0,18,2,0,52,55,55
23A91A1047,Ali Patel,Jaipur,3,2,6,1,3,69,68,70
23A91A1048,Roshan Sharma,Ahmedabad,3,1,8,1,1,91,90,90
23A91A1049,Neha Mishra,Pune,1,1,16,4,3,52,56,60
23A91A1050,Rahul Jani,Pune,2,1,3,4,4,89,91,92
23A91A1051,Rahul Desai,Chennai,1,1,9,0,3,86,84,83
23A91A1052,Ravi Verma,Delhi,3,1,7,2,3,77,73,69
23A91A1053,Ravi Jani,Bangalore,1,1,11,0,1,76,72,68
23A91A1054,Kiran Joshi,Ahmedabad,2,3,3,2,2,62,67,63
23A91A1055,Neha Patel,Hyderabad,4,3,4,2,2,67,70,73
23A91A1056,Roshan Verma,Bangalore,1,1,20,2,2,67,70,66
23A91A1057,Roshan Verma,Bangalore,4,2,20,3,0,88,87,88
23A91A1058,Fatima Patel,Hyderabad,4,1,20,4,1,82,87,84
23A91A1059,Ali Mishra,Pune,2,3,9,4,4,83,79,84
23A91A1060,Roshan Patel,Delhi,1,3,1,2,0,94,95,97
23A91A1061,Neha Desai,Ahmedabad,4,2,6,3,2,82,81,77
23A91A1062,Neha Reddy,Kolkata,2,1,17,4,0,49,51,49
23A91A1063,Anil Joshi,Bangalore,3,1,12,0,1,90,87,88
23A91A1064,Sneha Patel,Ahmedabad,2,3,12,4,0,79,81,85
23A91A1065,Ravi Mishra,Chennai,2,0,5,2,1,45,43,47
23A91A1066,Rahul Patel,Kolkata,1,3,4,0,0,80,83,80
23A91A1067,Neha Mishra,Mumbai,3,0,14,3,3,49,44,49
23A91A1068,Anil Reddy,Vijayawada,2,1,15,4,0,57,58,59
23A91A1069,Fatima Desai,Ahmedabad,1,3,11,2,0,64,66,71
23A91A1070,Kiran Mishra,Vijayawada,4,0,5,4,4,78,78,74
23A91A1071,Roshan Khan,Kolkata,3,0,17,0,0,80,80,80
23A91A1072,Divya Sharma,Hyderabad,4,1,18,1,4,83,88,87
23A91A1073,Anil Choudhary,Jaipur,3,0,4,0,2,69,64,63
23A91A1074,Anil Patel,Kolkata,2,3,9,4,1,63,68,70
23A91A1075,Roshan Verma,Bangalore,2,0,4,1,4,70,68,63
23A91A1076,Roshan Jani,Vijayawada,2,1,0,3,0,62,64,66
23A91A1077,Sneha Jani,Kolkata,2,1,3,4,2,54,52,54
23A91A1078,Kiran Reddy,Hyderabad,2,0,2,3,1,58,63,62
23A91A1079,Anil Sharma,Bangalore,3,0,11,0,3,45,43,41
23A91A1080,Neha Jani,Ahmedabad,3,3,17,3,4,80,83,86
23A91A1081,Anil Khan,Hyderabad,1,3,19,0,2,49,51,53
23A91A1082,Neha Choudhary,Pune,2,3,5,2,2,46,51,51
23A91A1083,Rahul Mishra,Delhi,1,0,11,4,3,81,78,74
23A91A1084,Neha Reddy,Mumbai,4,0,10,2,4,93,96,96
23A91A1085,Neha Mishra,Bangalore,4,3,18,4,2,94,96,94
23A91A1086,Ali Mishra,Jaipur,1,0,8,3,4,75,74,79
23A91A1087,Roshan Khan,Pune,4,0,17,1,4,56,59,62
23A91A1088,Kiran Verma,Ahmedabad,2,2,5,2,0,81,76,81
23A91A1089,Divya Joshi,Bangalore,3,1,4,1,3,87,88,89
23A91A1090,Sneha Joshi,Bangalore,2,0,3,1,2,72,74,72
23A91A1091,Kiran Jani,Vijayawada,3,1,5,2,2,78,76,80
23A91A1092,Fatima Sharma,Kolkata,4,3,5,1,2,51,56,52
23A91A1093,Anil Mishra,Kolkata,3,0,0,2,3,42,43,43
23A91A1094,Ravi Desai,Kolkata,1,0,1,3,1,77,81,82
23A91A1095,Roshan Jani,Jaipur,3,1,5,0,3,91,86,88
23A91A1096,Anil Desai,Hyderabad,3,1,13,1,3,90,88,92
23A91A1097,Neha Choudhary,Kolkata,1,0,0,1,3,84,80,79
23A91A1098,Neha Jani,Mumbai,3,1,8,3,2,70,73,68
23A91A1099,Kiran Choudhary,Delhi,3,0,9,4,2,76,80,78
23A91A1100,Rahul Verma,Vijayawada,3,1,0,0,1,89,87,87
23A91A1101,Fatima Reddy,Ahmedabad,3,2,18,2,3,47,48,43
23A91A1102,Ali Sharma,Mumbai,4,2,8,0,1,86,91,87
23A91A1103,Rahul Jani,Mumbai,3,0,11,3,1,62,63,65
23A91A1104,Ravi Patel,Ahmedabad,3,3,4,4,1,81,77,74
23A91A1105,Neha Joshi,Hyderabad,3,2,8,3,3,78,75,74
23A91A1106,Fatima Patel,Mumbai,3,3,19,0,4,46,49,47
23A91A1107,Divya Jani,Jaipur,4,0,15,2,2,61,64,64
23A91A1108,Kiran Mishra,Chennai,4,3,16,0,0,54,58,56
23A91A1109,Kiran Patel,Vijayawada,2,3,3,1,3,63,68,65
23A91A1110,Rahul Verma,Pune,1,1,6,3,3,58,54,59
23A91A1111,Fatima Desai,Hyderabad,2,3,14,3,4,57,62,57
23A91A1112,Roshan Reddy,Chennai,3,3,3,0,3,42,46,42
23A91A1113,Fatima Reddy,Bangalore,1,1,8,1,0,58,60,56
23A91A1114,Fatima Jani,Jaipur,1,0,10,4,4,70,73,73
23A91A1115,Ravi Sharma,Hyderabad,4,0,13,3,2,79,82,87
23A91A1116,Ravi Desai,Mumbai,3,3,12,1,2,58,63,67
23A91A1117,Ravi Reddy,Bangalore,3,1,7,2,3,81,79,83
23A91A1118,Kiran Choudhary,Pune,3,0,4,2,4,84,80,84
23A91A1119,Ali Sharma,Vijayawada,4,2,1,4,1,89,88,92
23A91A1120,Anil Reddy,Delhi,1,2,19,2,0,78,76,81
23A91A1121,Divya Sharma,Pune,3,3,7,1,2,69,69,74
23A91A1122,Anil Jani,Ahmedabad,2,0,9,2,4,56,52,56
23A91A1123,Fatima Desai,Chennai,1,1,8,3,3,50,54,59
23A91A1124,Divya Choudhary,Ahmedabad,4,3,7,1,4,82,86,88
23A91A1125,Ravi Patel,Kolkata,2,2,19,2,3,42,44,41
23A91A1126,Ali Verma,Ahmedabad,1,3,2,2,0,91,86,86
23A91A1127,Neha Khan,Jaipur,4,0,1,4,0,91,95,100
23A91A1128,Anil Desai,Vijayawada,2,1,5,2,1,62,65,61
23A91A1129,Anil Joshi,Vijayawada,4,2,14,3,2,89,94,95
23A91A1130,Divya Choudhary,Vijayawada,1,3,20,4,1,69,70,75
23A91A1131,Neha Patel,Kolkata,2,0,8,4,2,94,99,95
23A91A1132,Roshan Joshi,Mumbai,3,3,5,3,2,95,99,94
23A91A1133,Roshan Verma,Chennai,2,2,3,1,1,41,39,36
23A91A1134,Kiran Khan,Kolkata,3,2,10,1,4,68,67,65
23A91A1135,Anil Sharma,Chennai,2,1,15,2,1,82,79,83
23A91A1136,Anil Choudhary,Hyderabad,3,3,14,0,2,76,75,77
23A91A1137,Neha Khan,Vijayawada,4,3,20,3,4,47,45,49
23A91A1138,Ali Khan,Hyderabad,4,0,14,1,2,59,55,53
23A91A1139,Ali Choudhary,Mumbai,1,1,16,2,0,82,85,84
23A91A1140,Rahul Sharma,Vijayawada,2,3,9,1,0,67,65,64
23A91A1141,Ali Choudhary,Mumbai,1,2,11,4,2,95,90,90
23A91A1142,Neha Choudhary,Mumbai,3,2,14,4,4,45,50,49
23A91A1143,Roshan Khan,Hyderabad,2,3,5,1,3,41,45,43
23A91A1144,Ravi Jani,Ahmedabad,2,0,5,3,3,82,87,85
23A91A1145,Fatima Sharma,Hyderabad,3,1,17,1,0,88,91,94
23A91A1146,Divya Jani,Kolkata,2,3,12,3,0,94,97,93
23A91A1147,Sneha Sharma,Ahmedabad,3,2,7,2,4,91,92,95
23A91A1148,Kiran Verma,Delhi,1,2,1,3,2,76,81,84
23A91A1149,Neha Patel,Jaipur,1,1,11,4,2,76,79,76
23A91A1150,Roshan Mishra,Chennai,2,0,19,2,2,55,54,49
23A91A1151,Ravi Desai,Kolkata,1,0,11,1,0,80,75,79
23A91A1152,Kiran Patel,Jaipur,2,1,20,2,4,60,56,58
23A91A1153,Sneha Choudhary,Bangalore,4,2,19,2,1,46,46,41
23A91A1154,Rahul Choudhary,Jaipur,4,3,0,2,2,90,95,91
23A91A1155,Anil Mishra,Chennai,4,2,19,0,1,46,44,39
23A91A1156,Rahul Khan,Pune,4,2,0,0,4,47,44,39
23A91A1157,Rahul Sharma,Chennai,4,3,15,4,3,43,41,45
23A91A1158,Neha Desai,Delhi,4,2,15,4,1,75,74,73
23A91A1159,Neha Reddy,Hyderabad,4,1,5,3,2,78,81,79
23A91A1160,Divya Desai,Hyderabad,1,2,5,2,1,73,73,74
23A91A1161,Kiran Choudhary,Mumbai,3,3,6,3,3,56,53,53
23A91A1162,Fatima Khan,Pune,3,1,0,4,4,68,63,67
23A91A1163,Rahul Jani,Ahmedabad,2,0,1,3,1,46,42,46
23A91A1164,Ali Choudhary,Pune,4,3,6,2,0,88,88,89
23A91A1165,Kiran Jani,Chennai,2,3,12,3,2,49,45,43
23A91A1166,Neha Khan,Bangalore,3,3,6,4,2,93,93,88
23A91A1167,Divya Patel,Ahmedabad,2,2,10,2,0,68,63,65
23A91A1168,Neha Mishra,Hyderabad,2,1,19,1,4,44,40,39
23A91A1169,Neha Patel,Kolkata,3,0,11,4,1,66,62,58
23A91A1170,Fatima Joshi,Delhi,4,0,9,1,4,63,63,61
23A91A1171,Fatima Khan,Jaipur,3,2,13,1,2,81,79,76
23A91A1172,Rahul Patel,Jaipur,4,3,20,1,2,49,50,49
23A91A1173,Ravi Khan,Mumbai,1,3,9,2,2,56,53,55
23A91A1174,Kiran Mishra,Vijayawada,4,0,14,4,2,80,79,74
23A91A1175,Ravi Jani,Ahmedabad,4,2,7,1,1,64,65,66
23A91A1176,Ali Desai,Pune,2,2,4,2,3,51,53,54
23A91A1177,Neha Khan,Mumbai,4,3,7,3,2,47,46,48
23A91A1178,Sneha Mishra,Vijayawada,3,3,15,3,0,69,66,67
23A91A1179,Kiran Khan,Delhi,1,1,12,2,1,51,56,54
23A91A1180,Kiran Choudhary,Vijayawada,4,3,11,0,3,93,93,89
23A91A1181,Ali Desai,Pune,4,2,19,4,4,43,40,45
23A91A1182,Fatima Patel,Kolkata,2,2,2,0,1,41,39,39
23A91A1183,Anil Choudhary,Bangalore,4,1,9,1,0,95,95,90
23A91A1184,Sneha Jani,Kolkata,4,0,10,3,2,57,56,55
23A91A1185,Neha Sharma,Chennai,1,1,1,4,3,58,60,59
23A91A1186,Ali Choudhary,Vijayawada,2,0,9,3,2,55,57,57
23A91A1187,Kiran Verma,Chennai,1,3,15,4,0,75,78,82
23A91A1188,Rahul Reddy,Hyderabad,2,3,7,0,2,70,74,70
23A91A1189,Ali Sharma,Chennai,3,0,11,0,3,74,73,69
23A91A1190,Rahul Sharma,Vijayawada,2,1,2,0,1,92,96,96
23A91A1191,Ravi Khan,Bangalore,4,0,12,3,2,91,94,92
23A91A1192,Ali Jani,Delhi,4,2,16,3,0,83,81,78
23A91A1193,Ravi Mishra,Vijayawada,2,2,20,0,3,68,63,61
23A91A1194,Fatima Patel,Hyderabad,3,1,4,4,3,58,59,62
23A91A1195,Divya Joshi,Vijayawada,1,3,17,4,3,88,93,97
23A91A1196,Anil Desai,Jaipur,4,2,12,3,4,53,53,56
23A91A1197,Sneha Jani,Hyderabad,3,3,3,0,0,93,90,93
23A91A1198,Roshan Choudhary,Hyderabad,4,3,20,2,1,76,80,85
23A91A1199,Rahul Khan,Chennai,2,0,5,2,1,84,87,84
23A91A1200,Ravi Verma,Hyderabad,4,1,15,4,1,85,82,77
23A91A1201,Sneha Khan,Kolkata,4,0,15,4,0,52,50,51
23A91A1202,Ravi Jani,Jaipur,2,0,1,1,2,62,60,59
23A91A1203,Ali Joshi,Mumbai,3,0,20,0,4,89,84,85
23A91A1204,Anil Khan,Bangalore,4,1,10,0,3,83,86,89
23A91A1205,Sneha Verma,Chennai,3,1,15,3,4,95,99,100
23A91A1206,Ravi Patel,Chennai,2,0,12,4,1,75,80,75
23A91A1207,Ali Khan,Hyderabad,3,1,4,4,1,71,76,78
23A91A1208,Rahul Khan,Chennai,3,0,14,0,1,85,81,78
23A91A1209,Roshan Choudhary,Bangalore,4,2,13,0,1,46,43,40
23A91A1210,Divya Joshi,Vijayawada,2,2,7,2,2,64,67,70
23A91A1211,Divya Jani,Chennai,4,1,2,4,4,41,43,40
23A91A1212,Ravi Verma,Jaipur,3,0,8,2,0,69,73,68
23A91A1213,Rahul Choudhary,Pune,3,3,4,1,4,50,49,52
23A91A1214,Neha Choudhary,Bangalore,3,2,2,2,3,60,59,59
23A91A1215,Sneha Verma,Ahmedabad,3,3,6,3,3,63,65,65
23A91A1216,Fatima Desai,Bangalore,4,3,6,0,3,43,45,49
23A91A1217,Ali Khan,Hyderabad,4,0,13,0,1,57,61,62
23A91A1218,Divya Jani,Ahmedabad,2,2,6,2,3,60,58,55
23A91A1219,Divya Reddy,Chennai,1,0,2,4,4,84,79,75
23A91A1220,Neha Desai,Ahmedabad,2,1,5,4,0,66,71,76
23A91A1221,Kiran Patel,Jaipur,3,2,9,2,0,80,78,82
23A91A1222,Ravi Verma,Chennai,2,3,6,4,1,48,49,51
23A91A1223,Fatima Verma,Ahmedabad,4,3,8,3,0,88,86,83
23A91A1224,Fatima Reddy,Mumbai,4,3,20,2,1,57,60,60
23A91A1225,Kiran Khan,Bangalore,2,1,8,4,4,42,39,36
23A91A1226,Anil Sharma,Hyderabad,4,2,4,1,1,42,47,44
23A91A1227,Roshan Desai,Kolkata,3,3,19,4,1,80,82,78
23A91A1228,Divya Reddy,Jaipur,3,2,4,3,1,47,48,48
23A91A1229,Rahul Desai,Vijayawada,2,3,20,0,4,87,88,90
23A91A1230,Ravi Choudhary,Pune,1,3,7,1,0,55,52,53
23A91A1231,Fatima Khan,Bangalore,1,2,12,0,1,70,72,74
23A91A1232,Kiran Reddy,Vijayawada,1,1,4,3,1,95,92,93
23A91A1233,Roshan Mishra,Pune,1,3,19,4,0,43,46,45
23A91A1234,Anil Choudhary,Chennai,2,3,7,4,0,60,55,52
23A91A1235,Divya Jani,Bangalore,3,0,4,2,3,63,59,55
23A91A1236,Divya Patel,Kolkata,1,0,11,3,3,52,51,53
23A91A1237,Roshan Joshi,Hyderabad,2,0,13,1,3,82,78,74
23A91A1238,Roshan Sharma,Delhi,4,1,16,2,1,83,88,93
23A91A1239,Rahul Sharma,Pune,2,3,19,3,0,49,45,46
23A91A1240,Sneha Mishra,Mumbai,1,2,5,0,0,48,44,48
23A91A1241,Ravi Choudhary,Vijayawada,1,2,11,1,2,41,42,39
23A91A1242,Ali Joshi,Ahmedabad,3,0,8,4,3,91,88,89
23A91A1243,Roshan Sharma,Ahmedabad,1,3,4,2,3,63,65,62
23A91A1244,Ravi Mishra,Delhi,3,1,10,4,0,44,39,36
23A91A1245,Fatima Mishra,Jaipur,3,0,18,4,0,74,73,71
23A91A1246,Rahul Verma,Bangalore,2,1,7,0,4,76,74,71
23A91A1247,Fatima Choudhary,Kolkata,4,1,13,1,1,70,65,60
23A91A1248,Sneha Joshi,Vijayawada,2,0,14,2,4,54,56,58
23A91A1249,Divya Verma,Chennai,1,3,3,1,3,61,64,66
23A91A1250,Ali Khan,Bangalore,1,1,17,1,4,81,81,85
23A91A1251,Ravi Sharma,Pune,1,2,7,0,1,68,73,76
23A91A1252,Divya Reddy,Vijayawada,1,1,16,2,0,85,85,84
23A91A1253,Ravi Mishra,Pune,3,0,1,1,2,43,38,33
23A91A1254,Fatima Reddy,Bangalore,3,0,10,1,4,74,70,70
23A91A1255,Fatima Choudhary,Pune,4,2,4,3,3,44,44,43
23A91A1256,Ali Mishra,Pune,1,3,19,2,1,58,55,58
23A91A1257,Kiran Jani,Bangalore,1,2,0,2,1,94,93,93
23A91A1258,Fatima Khan,Mumbai,1,3,10,1,2,54,58,60
23A91A1259,Kiran Joshi,Chennai,2,1,18,1,4,46,47,42
23A91A1260,Neha Joshi,Delhi,2,2,8,3,1,40,41,45
23A91A1261,Anil Verma,Bangalore,1,2,9,1,2,52,51,53
23A91A1262,Ali Jani,Jaipur,1,3,20,4,0,66,61,63
23A91A1263,Neha Khan,Vijayawada,2,3,18,1,4,61,63,62
23A91A1264,Neha Mishra,Ahmedabad,3,0,13,0,2,62,67,65
23A91A1265,Ravi Joshi,Ahmedabad,2,0,9,2,2,92,87,82
23A91A1266,Divya Jani,Ahmedabad,4,0,18,4,1,60,64,59
23A91A1267,Roshan Sharma,Chennai,2,3,3,0,0,50,51,49
23A91A1268,Kiran Reddy,Ahmedabad,1,2,3,0,0,88,89,85
23A91A1269,Divya Sharma,Kolkata,3,1,14,1,3,57,58,62
23A91A1270,Sneha Reddy,Hyderabad,1,3,19,2,0,64,67,68
23A91A1271,Fatima Sharma,Vijayawada,2,1,19,3,0,54,59,54
23A91A1272,Ali Joshi,Chennai,4,2,19,1,3,46,48,47
23A91A1273,Kiran Choudhary,Bangalore,4,3,8,3,4,56,57,62
23A91A1274,Ravi Patel,Jaipur,1,0,15,1,1,77,82,84
23A91A1275,Neha Verma,Chennai,2,3,6,3,4,53,53,53
23A91A1276,Ravi Verma,Pune,3,2,1,2,0,62,57,56
23A91A1277,Fatima Sharma,Vijayawada,4,2,5,1,1,67,66,62
23A91A1278,Fatima Verma,Vijayawada,1,0,11,3,1,94,96,93
23A91A1279,Fatima Reddy,Chennai,4,0,10,2,1,52,53,52
23A91A1280,Roshan Joshi,Ahmedabad,2,2,6,3,4,66,71,70
23A91A1281,Kiran Jani,Ahmedabad,4,0,12,4,1,84,83,85
23A91A1282,Roshan Desai,Pune,3,3,8,4,3,60,65,70
23A91A1283,Kiran Choudhary,Mumbai,1,3,10,0,2,81,84,87
23A91A1284,Ali Verma,Delhi,3,0,18,3,0,56,53,51
23A91A1285,Neha Desai,Kolkata,1,0,14,2,3,84,89,84
23A91A1286,Ali Choudhary,Vijayawada,3,0,6,4,4,88,92,89
23A91A1287,Anil Jani,Jaipur,3,1,0,2,4,85,86,86
23A91A1288,Roshan Mishra,Bangalore,4,0,13,2,2,85,84,86
23A91A1289,Rahul Sharma,Delhi,2,0,4,1,3,86,83,88
23A91A1290,Neha Verma,Jaipur,2,0,5,0,1,85,88,85
23A91A1291,Rahul Mishra,Pune,3,1,5,0,4,73,68,65
23A91A1292,Rahul Mishra,Pune,1,0,10,4,2,92,92,93
23A91A1293,Ravi Choudhary,Chennai,2,0,17,1,0,57,57,62
23A91A1294,Kiran Sharma,Vijayawada,2,3,9,2,4,62,62,65
23A91A1295,Ali Reddy,Mumbai,1,0,2,3,3,46,43,40
23A91A1296,Divya Joshi,Hyderabad,3,0,19,3,2,40,40,38
23A91A1297,Roshan Mishra,Delhi,3,1,5,3,4,58,62,61
23A91A1298,Rahul Verma,Chennai,3,0,12,1,2,57,53,52
23A91A1299,Kiran Jani,Mumbai,1,2,4,1,1,79,75,75
23A91A1300,Roshan Verma,Delhi,2,1,0,3,3,45,40,45
23A91A1301,Anil Patel,Ahmedabad,4,2,10,4,0,63,61,57
23A91A1302,Divya Khan,Kolkata,2,0,9,0,4,53,51,48
23A91A1303,Kiran Choudhary,Bangalore,3,0,19,1,1,58,53,49
23A91A1304,Roshan Desai,Chennai,2,1,10,2,3,40,41,40
23A91A1305,Roshan Desai,Chennai,3,3,1,1,1,59,54,52
23A91A1306,Rahul Sharma,Delhi,4,1,12,1,0,94,97,92
23A91A1307,Divya Patel,Jaipur,2,1,8,0,3,46,43,48
23A91A1308,Ali Jani,Kolkata,1,1,17,2,3,40,37,42
23A91A1309,Ali Choudhary,Ahmedabad,3,2,8,3,1,73,70,68
23A91A1310,Divya Verma,Pune,3,2,10,0,0,94,94,91
23A91A1311,Divya Reddy,Chennai,4,0,20,3,4,56,59,56
23A91A1312,Neha Khan,Hyderabad,2,3,7,1,1,87,90,86
23A91A1313,Ravi Patel,Kolkata,3,1,12,4,3,95,91,93
23A91A1314,Ravi Choudhary,Mumbai,4,0,9,0,1,48,45,49
23A91A1315,Ali Patel,Mumbai,2,2,7,3,3,52,53,50
23A91A1316,Sneha Desai,Delhi,1,1,7,1,3,65,69,68
23A91A1317,Divya Mishra,Pune,2,1,9,3,0,87,85,80
23A91A1318,Ali Sharma,Hyderabad,1,3,5,3,1,87,86,90
23A91A1319,Ali Verma,Chennai,4,1,5,3,2,43,38,38
23A91A1320,Kiran Jani,Pune,4,2,1,3,1,52,55,51
23A91A1321,Anil Verma,Hyderabad,3,0,2,4,1,79,79,81
23A91A1322,Divya Choudhary,Pune,2,3,14,1,3,68,73,78
23A91A1323,Roshan Choudhary,Ahmedabad,4,2,6,0,3,51,49,50
23A91A1324,Roshan Choudhary,Hyderabad,2,3,8,1,0,94,98,101
23A91A1325,Roshan Khan,Delhi,2,1,15,2,2,72,76,76
23A91A1326,Ali Desai,Ahmedabad,2,2,1,2,4,71,71,70
23A91A1327,Divya Sharma,Kolkata,2,1,4,2,1,67,67,70
23A91A1328,Ravi Jani,Delhi,4,0,3,1,1,74,78,80
23A91A1329,Anil Jani,Hyderabad,4,0,19,2,1,93,91,89
23A91A1330,Anil Desai,Delhi,3,1,17,2,4,61,61,63
23A91A1331,Sneha Jani,Pune,2,3,20,1,1,69,70,67
23A91A1332,Divya Verma,Chennai,3,0,2,0,2,51,49,48
23A91A1333,Ali Choudhary,Pune,2,3,15,4,2,85,82,82
23A91A1334,Roshan Reddy,Pune,4,0,8,4,3,82,82,79
23A91A1335,Kiran Reddy,Jaipur,3,3,9,0,0,81,82,83
23A91A1336,Ali Reddy,Jaipur,4,0,7,2,2,77,76,77
23A91A1337,Ravi Verma,Chennai,3,2,14,2,2,89,93,95
23A91A1338,Neha Sharma,Vijayawada,2,1,7,0,1,44,40,36
23A91A1339,Kiran Joshi,Ahmedabad,1,1,18,1,4,82,85,86
23A91A1340,Divya Verma,Hyderabad,2,3,2,1,2,62,61,66
23A91A1341,Roshan Reddy,Jaipur,3,0,12,3,4,91,87,88
23A91A1342,Ravi Sharma,Bangalore,1,1,1,1,3,54,53,52
23A91A1343,Sneha Joshi,Ahmedabad,3,0,4,1,2,42,38,34
23A91A1344,Neha Mishra,Ahmedabad,4,3,5,2,0,66,71,76
23A91A1345,Kiran Mishra,Pune,3,1,15,2,2,95,98,94
23A91A1346,Ravi Reddy,Vijayawada,1,0,1,0,2,42,37,40
23A91A1347,Fatima Desai,Jaipur,4,1,9,4,2,57,54,56
23A91A1348,Sneha Mishra,Bangalore,3,1,12,1,3,53,48,47
23A91A1349,Ali Desai,Kolkata,2,1,12,3,1,45,43,43
23A91A1350,Rahul Reddy,Hyderabad,1,2,6,3,2,45,48,52
23A91A1351,Roshan Mishra,Mumbai,4,2,14,0,2,47,49,54
23A91A1352,Anil Joshi,Kolkata,4,0,12,3,1,92,94,99
23A91A1353,Roshan Jani,Pune,3,3,15,2,0,46,50,52
23A91A1354,Roshan Khan,Hyderabad,3,3,17,4,1,61,61,61
23A91A1355,Roshan Verma,Bangalore,4,0,14,0,3,89,84,82
23A91A1356,Sneha Desai,Vijayawada,4,2,6,0,2,40,36,39
23A91A1357,Fatima Joshi,Hyderabad,2,1,8,4,3,51,48,45
23A91A1358,Roshan Desai,Mumbai,2,3,10,4,2,55,60,63
23A91A1359,Anil Desai,Kolkata,1,0,17,3,0,90,94,95
23A91A1360,Rahul Reddy,Vijayawada,2,2,1,2,4,92,93,96
23A91A1361,Ravi Khan,Mumbai,3,0,16,4,1,86,90,91
23A91A1362,Anil Patel,Vijayawada,3,1,11,2,3,63,62,57
23A91A1363,Ali Jani,Ahmedabad,4,2,17,0,2,44,49,50
23A91A1364,Fatima Choudhary,Mumbai,2,1,5,0,0,87,83,80
23A91A1365,Rahul Desai,Pune,2,2,15,0,1,64,64,68
23A91A1366,Divya Khan,Mumbai,1,1,15,0,0,53,58,53
23A91A1367,Anil Joshi,Mumbai,2,1,13,0,2,44,45,49
23A91A1368,Rahul Desai,Bangalore,2,1,2,0,3,56,61,63
23A91A1369,Divya Desai,Mumbai,4,1,3,2,1,61,63,64
23A91A1370,Fatima Jani,Bangalore,2,2,8,2,4,56,60,63
23A91A1371,Ravi Joshi,Jaipur,2,3,16,1,1,76,71,72
23A91A1372,Sneha Choudhary,Mumbai,4,1,8,3,1,76,77,74
